Date,_Date,Facebook Page,Total Fans,Net Page Likes,Page Likes,Organic Page Likes,Paid Page Likes,Page Unlikes,Published Posts,Impressions,Organic Impressions,Paid Impressions,Reach,Organic Reach,Paid Reach,Engagements,Reactions,Likes,Love Reactions,Haha Reactions,Wow Reactions,Sad Reactions,Angry Reactions,Comments,Shares,Post Link Clicks,Other Post Clicks,Page Actions,Engagement Rate (per Impression),Negative Feedback,Video Views,Full Video Views,Partial Video Views,Organic Video Views,Organic Full Video Views,Organic Partial Video Views,Paid Video Views,Paid Full Video Views,Paid Partial Video Views,Click to Play Video Views,Autoplay Video Views
1/1/2018,1/1/2018,Kum & Go,"109,806",28,39,13,27,11,0,"109,585","3,042","106,520","89,934","2,175","89,091",394,57,54,2,1,0,0,0,9,6,204,118,9,0.36%,4,0,0,0,0,0,0,0,0,0,0,0
1/1/2018,1/2/2018,Kum & Go,"109,838",32,47,11,36,15,1,"103,423","7,363","96,024","80,418","4,816","76,414",807,455,428,18,1,8,0,0,22,27,103,200,3,0.78%,8,2,0,2,2,0,2,0,0,0,0,2
1/1/2018,1/3/2018,Kum & Go,"109,843",6,21,11,10,15,0,"82,244","1,601","80,607","67,813","1,136","66,468",300,43,39,4,0,0,0,0,7,6,119,125,3,0.36%,1,4,1,3,4,1,3,0,0,0,0,4
1/1/2018,1/4/2018,Kum & Go,"109,845",3,18,9,9,15,0,"82,920",775,"82,122","67,780",563,"67,445",254,16,16,0,0,0,0,0,2,7,117,112,3,0.31%,1,3,0,3,3,0,3,0,0,0,0,3
1/1/2018,1/5/2018,Kum & Go,"109,869",24,32,16,16,8,0,"95,110",514,"94,538","78,739",352,"77,920",304,45,41,1,1,2,0,0,9,5,126,119,5,0.32%,0,3,1,2,3,1,2,0,0,0,1,2
1/1/2018,1/6/2018,Kum & Go,"109,893",22,30,12,18,8,0,"87,187",416,"86,756","72,620",312,"72,573",405,164,157,6,0,0,0,1,3,6,133,99,3,0.46%,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2018,1/7/2018,Kum & Go,"109,900",9,14,10,4,5,0,"78,458",235,"78,198","62,528",171,"62,331",237,39,34,2,0,2,1,0,4,3,100,91,2,0.30%,0,6,3,3,6,3,3,0,0,0,0,6
1/1/2018,1/8/2018,Kum & Go,"109,897",-1,13,8,5,14,1,"101,928","6,203","95,693","83,343","4,068","80,921",287,22,20,1,1,0,0,0,3,12,121,129,1,0.28%,4,2,1,1,2,1,1,0,0,0,0,2
1/1/2018,1/9/2018,Kum & Go,"109,896",1,16,9,7,15,0,"91,707","1,787","89,900","77,722","1,326","75,687",302,22,20,0,2,0,0,0,13,9,129,129,6,0.33%,4,0,0,0,0,0,0,0,0,0,0,0
1/1/2018,1/10/2018,Kum & Go,"109,937",42,58,19,38,16,0,"106,709","1,782","104,882","88,267","1,191","87,491",715,264,246,12,2,2,1,1,38,32,129,252,4,0.67%,0,3,0,3,3,0,3,0,0,0,1,2
1/1/2018,1/11/2018,Kum & Go,"109,968",29,40,12,28,11,0,"111,553","2,739","108,794","95,786","1,890","93,726",741,110,102,7,1,0,0,0,31,26,401,173,6,0.66%,2,8,2,6,8,2,6,0,0,0,0,8
1/1/2018,1/12/2018,Kum & Go,"110,015",48,63,14,49,15,0,"122,805","3,057","119,701","106,749","2,118","105,130","1,242",438,404,18,2,15,0,0,49,58,378,319,3,1.01%,1,9,3,6,9,3,6,0,0,0,3,6
