Date,_Date,Instagram Profile,Followers,Net Follower Growth,Followers Gained,Followers Lost,Following,Net Following Growth,Published Posts & Stories,Impressions,Reach,Engagements,Likes,Comments,Saves,Story Replies,Profile Actions,Engagement Rate (per Impression)
1/1/2018,1/1/2018,Kum & Go,"2,819",1,1,0,,,0,25,22,4,4,0,0,0,0,16%
1/1/2018,1/2/2018,Kum & Go,"2,820",1,1,0,,,1,606,454,3,3,0,0,0,0,0.50%
1/1/2018,1/3/2018,Kum & Go,"2,822",2,2,0,,,0,138,109,4,4,0,0,0,0,2.90%
1/1/2018,1/4/2018,Kum & Go,"2,823",1,1,0,,,1,624,440,13,13,0,0,0,0,2.08%
1/1/2018,1/5/2018,Kum & Go,"2,829",6,6,0,,,0,148,105,11,11,0,0,0,0,7.43%
1/1/2018,1/6/2018,Kum & Go,"2,830",1,1,0,,,0,65,51,18,18,0,0,0,0,27.69%
1/1/2018,1/7/2018,Kum & Go,"2,831",1,1,0,,,0,76,50,9,9,0,0,0,0,11.84%
1/1/2018,1/8/2018,Kum & Go,"2,845",14,14,0,,,0,324,110,8,8,0,0,0,0,2.47%
1/1/2018,1/9/2018,Kum & Go,"2,849",4,4,0,,,0,73,28,6,6,0,0,0,1,8.22%
1/1/2018,1/10/2018,Kum & Go,"2,851",2,2,0,,,0,45,22,3,3,0,0,0,1,6.67%
1/1/2018,1/11/2018,Kum & Go,"2,854",3,3,0,,,0,45,12,3,3,0,0,0,0,6.67%
1/1/2018,1/12/2018,Kum & Go,"2,857",3,3,0,,,0,37,11,4,4,0,0,0,0,10.81%
1/1/2018,1/13/2018,Kum & Go,"2,859",2,2,0,,,0,38,9,2,2,0,0,0,0,5.26%
1/1/2018,1/14/2018,Kum & Go,"2,861",2,2,0,,,0,40,8,2,2,0,0,0,0,5%
1/1/2018,1/15/2018,Kum & Go,"2,862",1,1,0,,,0,14,9,1,1,0,0,0,1,7.14%
1/1/2018,1/16/2018,Kum & Go,"2,863",1,1,0,,,0,67,9,2,2,0,0,0,0,2.99%
1/1/2018,1/17/2018,Kum & Go,"2,866",3,3,0,,,1,632,457,2,2,0,0,0,0,0.32%
1/1/2018,1/18/2018,Kum & Go,"2,868",2,2,0,,,0,139,119,4,4,0,0,0,0,2.88%
1/1/2018,1/19/2018,Kum & Go,"2,873",5,5,0,,,1,725,516,12,12,0,0,0,0,1.66%
1/1/2018,1/20/2018,Kum & Go,"2,874",1,1,0,,,0,148,113,8,8,0,0,0,1,5.41%
1/1/2018,1/21/2018,Kum & Go,"2,874",0,0,0,,,0,100,62,15,15,0,0,0,0,15%
1/1/2018,1/22/2018,Kum & Go,"2,874",0,0,0,,,0,48,30,8,8,0,0,0,1,16.67%
1/1/2018,1/23/2018,Kum & Go,"2,876",2,2,0,,,0,33,21,6,6,0,0,0,0,18.18%
1/1/2018,1/24/2018,Kum & Go,"2,877",1,1,0,,,0,59,19,4,4,0,0,0,0,6.78%
1/1/2018,1/25/2018,Kum & Go,"2,877",0,0,0,,,0,45,11,3,3,0,0,0,0,6.67%
1/1/2018,1/26/2018,Kum & Go,"2,878",1,1,0,,,1,692,507,3,3,0,0,0,1,0.43%
1/1/2018,1/27/2018,Kum & Go,"2,881",3,3,0,,,0,246,208,14,14,0,0,0,1,5.69%
1/1/2018,1/28/2018,Kum & Go,"2,883",2,2,0,,,0,94,83,14,13,1,0,0,0,14.89%
1/1/2018,1/29/2018,Kum & Go,"2,885",2,2,0,,,0,50,32,12,10,1,1,0,0,24%
1/1/2018,1/30/2018,Kum & Go,"2,885",0,0,0,,,0,28,20,6,6,0,0,0,0,21.43%
1/1/2018,1/31/2018,Kum & Go,"2,886",1,1,0,,,0,16,12,5,5,0,0,0,0,31.25%
2/1/2018,2/1/2018,Kum & Go,"2,887",1,1,0,,,0,12,12,3,3,0,0,0,0,25%
2/1/2018,2/2/2018,Kum & Go,"2,889",2,2,0,,,0,23,8,5,4,1,0,0,0,21.74%
2/1/2018,2/3/2018,Kum & Go,"2,899",10,10,0,,,0,114,71,1,1,0,0,0,0,0.88%
2/1/2018,2/4/2018,Kum & Go,"2,902",3,3,0,,,1,728,589,1,1,0,0,0,1,0.14%
2/1/2018,2/5/2018,Kum & Go,"2,903",1,1,0,,,0,169,122,5,5,0,0,0,0,2.96%
2/1/2018,2/6/2018,Kum & Go,"2,905",2,2,0,,,0,63,52,13,13,0,0,0,0,20.63%
2/1/2018,2/7/2018,Kum & Go,"2,906",1,1,0,,,0,32,31,7,7,0,0,0,0,21.88%
2/1/2018,2/8/2018,Kum & Go,"2,908",2,2,0,,,0,29,20,4,4,0,0,0,0,13.79%
2/1/2018,2/9/2018,Kum & Go,"2,912",4,4,0,,,1,611,479,4,4,0,0,0,0,0.65%
2/1/2018,2/10/2018,Kum & Go,"2,913",1,1,0,,,0,195,112,6,6,0,0,0,0,3.08%
2/1/2018,2/11/2018,Kum & Go,"2,915",2,2,0,,,0,100,72,15,15,0,0,0,0,15%
2/1/2018,2/12/2018,Kum & Go,"2,918",3,3,0,,,0,36,27,12,10,1,1,0,0,33.33%
2/1/2018,2/13/2018,Kum & Go,"2,922",4,4,0,,,0,68,57,6,6,0,0,0,1,8.82%
2/1/2018,2/14/2018,Kum & Go,"2,924",2,2,0,,,1,456,371,4,4,0,0,0,0,0.88%
2/1/2018,2/15/2018,Kum & Go,"2,927",3,3,0,,,0,227,180,6,6,0,0,0,2,2.64%
2/1/2018,2/16/2018,Kum & Go,"2,933",6,6,0,,,0,193,141,10,10,0,0,0,0,5.18%
2/1/2018,2/17/2018,Kum & Go,"2,939",6,6,0,,,0,232,133,8,8,0,0,0,1,3.45%
2/1/2018,2/18/2018,Kum & Go,"2,942",3,3,0,,,0,72,42,4,4,0,0,0,0,5.56%
2/1/2018,2/19/2018,Kum & Go,"2,943",1,1,0,,,0,33,17,4,4,0,0,0,1,12.12%
2/1/2018,2/20/2018,Kum & Go,"2,946",3,3,0,,,0,90,26,3,3,0,0,0,0,3.33%
2/1/2018,2/21/2018,Kum & Go,"2,949",3,3,0,,,1,"1,068",727,3,3,0,0,0,0,0.28%
2/1/2018,2/22/2018,Kum & Go,"2,950",1,1,0,,,0,306,268,9,9,0,0,0,1,2.94%
2/1/2018,2/23/2018,Kum & Go,"2,951",1,1,0,,,0,90,73,33,32,0,1,0,0,36.67%
2/1/2018,2/24/2018,Kum & Go,"2,951",0,0,0,,,0,81,48,19,18,1,0,0,0,23.46%
2/1/2018,2/25/2018,Kum & Go,"2,952",1,1,0,,,0,113,53,10,10,0,0,0,0,8.85%
2/1/2018,2/26/2018,Kum & Go,"2,956",4,4,0,,,1,790,623,11,10,0,1,0,1,1.39%
2/1/2018,2/27/2018,Kum & Go,"2,956",0,0,0,,,0,166,130,9,9,0,0,0,1,5.42%
2/1/2018,2/28/2018,Kum & Go,"2,960",4,4,0,,,1,718,531,22,20,0,2,0,0,3.06%
3/1/2018,3/1/2018,Kum & Go,"2,961",1,1,0,,,0,210,148,15,14,0,1,0,0,7.14%
3/1/2018,3/2/2018,Kum & Go,"2,964",3,3,0,,,1,705,470,21,21,0,0,0,1,2.98%
3/1/2018,3/3/2018,Kum & Go,"2,964",0,0,0,600,,0,161,114,17,16,0,1,0,2,10.56%
3/1/2018,3/4/2018,Kum & Go,"2,964",0,3,3,600,0,0,106,70,17,17,0,0,0,3,16.04%
3/1/2018,3/5/2018,Kum & Go,"2,968",4,4,0,600,0,0,40,26,13,13,0,0,0,0,32.50%
3/1/2018,3/6/2018,Kum & Go,"2,969",1,1,0,599,-1,0,16,10,9,9,0,0,0,0,56.25%
3/1/2018,3/7/2018,Kum & Go,"2,969",0,2,2,600,1,1,525,411,6,6,0,0,0,0,1.14%
3/1/2018,3/8/2018,Kum & Go,"2,971",2,2,0,600,0,1,"1,109",690,9,8,0,1,0,2,0.81%
3/1/2018,3/9/2018,Kum & Go,"2,971",0,1,1,600,0,0,232,163,21,21,0,0,0,0,9.05%
3/1/2018,3/10/2018,Kum & Go,"2,971",0,0,0,600,0,0,83,46,28,28,0,0,0,0,33.73%
3/1/2018,3/11/2018,Kum & Go,"2,970",-1,0,1,600,0,1,920,642,18,18,0,0,0,0,1.96%
3/1/2018,3/12/2018,Kum & Go,"2,970",0,0,0,600,0,0,128,93,14,14,0,0,0,0,10.94%
3/1/2018,3/13/2018,Kum & Go,"2,972",2,3,1,600,0,0,35,21,23,23,0,0,0,1,65.71%
3/1/2018,3/14/2018,Kum & Go,"2,973",1,1,0,600,0,0,15,10,14,14,0,0,0,0,93.33%
3/1/2018,3/15/2018,Kum & Go,"2,974",1,1,0,600,0,0,15,9,10,10,0,0,0,0,66.67%
3/1/2018,3/16/2018,Kum & Go,"2,976",2,2,0,600,0,0,26,12,7,7,0,0,0,0,26.92%
3/1/2018,3/17/2018,Kum & Go,"2,977",1,1,0,599,-1,1,600,480,7,7,0,0,0,1,1.17%
3/1/2018,3/18/2018,Kum & Go,"2,980",3,7,4,598,-1,0,263,194,7,7,0,0,0,0,2.66%
3/1/2018,3/19/2018,Kum & Go,"2,983",3,3,0,597,-1,0,86,59,11,11,0,0,0,1,12.79%
3/1/2018,3/20/2018,Kum & Go,"2,985",2,2,0,597,0,0,19,17,8,8,0,0,0,0,42.11%
3/1/2018,3/21/2018,Kum & Go,"2,985",0,0,0,597,0,0,21,11,5,5,0,0,0,0,23.81%
3/1/2018,3/22/2018,Kum & Go,"2,985",0,3,3,597,0,0,10,7,5,5,0,0,0,2,50%
3/1/2018,3/23/2018,Kum & Go,"2,986",1,1,0,597,0,0,36,8,2,2,0,0,0,0,5.56%
3/1/2018,3/24/2018,Kum & Go,"2,986",0,2,2,597,0,0,27,10,3,3,0,0,0,0,11.11%
3/1/2018,3/25/2018,Kum & Go,"2,987",1,1,0,596,-1,0,33,20,3,3,0,0,0,0,9.09%
3/1/2018,3/26/2018,Kum & Go,"2,985",-2,3,5,596,0,0,16,10,2,2,0,0,0,0,12.50%
3/1/2018,3/27/2018,Kum & Go,"2,988",3,4,1,595,-1,0,21,10,2,2,0,0,0,0,9.52%
3/1/2018,3/28/2018,Kum & Go,"2,990",2,2,0,596,1,0,6,3,0,0,0,0,0,0,0%
3/1/2018,3/29/2018,Kum & Go,"2,992",2,2,0,597,1,0,6,6,3,3,0,0,0,1,50%
3/1/2018,3/30/2018,Kum & Go,"2,993",1,3,2,596,-1,0,11,4,0,0,0,0,0,1,0%
3/1/2018,3/31/2018,Kum & Go,"2,994",1,3,2,597,1,0,26,12,1,1,0,0,0,0,3.85%
4/1/2018,4/1/2018,Kum & Go,"2,994",0,1,1,597,0,0,19,12,0,0,0,0,0,0,0%
4/1/2018,4/2/2018,Kum & Go,"2,995",1,4,3,597,0,0,54,21,0,0,0,0,0,0,0%
4/1/2018,4/3/2018,Kum & Go,"2,996",1,1,0,597,0,0,38,8,2,2,0,0,0,1,5.26%
4/1/2018,4/4/2018,Kum & Go,"2,997",1,3,2,597,0,1,708,583,0,0,0,0,0,0,0%
4/1/2018,4/5/2018,Kum & Go,"2,997",0,1,1,597,0,0,162,147,3,3,0,0,0,2,1.85%
4/1/2018,4/6/2018,Kum & Go,"2,997",0,1,1,596,-1,0,76,38,17,17,0,0,0,0,22.37%
4/1/2018,4/7/2018,Kum & Go,"3,000",3,3,0,596,0,0,17,11,9,8,1,0,0,1,52.94%
4/1/2018,4/8/2018,Kum & Go,"3,002",2,2,0,596,0,0,23,12,4,4,0,0,0,2,17.39%
4/1/2018,4/9/2018,Kum & Go,"3,001",-1,1,2,596,0,0,24,10,4,4,0,0,0,0,16.67%
4/1/2018,4/10/2018,Kum & Go,"3,001",0,1,1,596,0,0,38,13,2,2,0,0,0,0,5.26%
4/1/2018,4/11/2018,Kum & Go,"3,002",1,1,0,596,0,0,16,13,3,3,0,0,0,0,18.75%
4/1/2018,4/12/2018,Kum & Go,"3,002",0,0,0,596,0,0,29,12,2,2,0,0,0,0,6.90%
4/1/2018,4/13/2018,Kum & Go,"3,001",-1,0,1,596,0,0,46,11,1,1,0,0,0,0,2.17%
4/1/2018,4/14/2018,Kum & Go,"3,005",4,5,1,596,0,0,23,15,1,1,0,0,0,0,4.35%
4/1/2018,4/15/2018,Kum & Go,"3,007",2,2,0,596,0,0,4,2,1,1,0,0,0,0,25%
4/1/2018,4/16/2018,Kum & Go,"3,007",0,0,0,596,0,0,12,8,1,1,0,0,0,0,8.33%
4/1/2018,4/17/2018,Kum & Go,"3,006",-1,1,2,596,0,0,24,11,0,0,0,0,0,0,0%
4/1/2018,4/18/2018,Kum & Go,"3,007",1,2,1,595,-1,0,19,13,1,1,0,0,0,0,5.26%
4/1/2018,4/19/2018,Kum & Go,"3,010",3,3,0,596,1,0,15,13,1,1,0,0,0,0,6.67%
4/1/2018,4/20/2018,Kum & Go,"3,011",1,1,0,596,0,0,24,9,0,0,0,0,0,0,0%
4/1/2018,4/21/2018,Kum & Go,"3,010",-1,1,2,595,-1,0,20,12,0,0,0,0,0,0,0%
4/1/2018,4/22/2018,Kum & Go,"3,009",-1,1,2,595,0,0,92,11,1,1,0,0,0,0,1.09%
4/1/2018,4/23/2018,Kum & Go,"3,010",1,1,0,595,0,0,12,9,0,0,0,0,0,2,0%
4/1/2018,4/24/2018,Kum & Go,"3,012",2,3,1,595,0,0,22,11,1,1,0,0,0,0,4.55%
4/1/2018,4/25/2018,Kum & Go,"3,013",1,1,0,595,0,0,19,10,0,0,0,0,0,0,0%
4/1/2018,4/26/2018,Kum & Go,"3,013",0,2,2,595,0,0,21,10,0,0,0,0,0,0,0%
4/1/2018,4/27/2018,Kum & Go,"3,013",0,0,0,595,0,0,24,14,0,0,0,0,0,0,0%
4/1/2018,4/28/2018,Kum & Go,"3,013",0,0,0,595,0,0,72,6,1,1,0,0,0,0,1.39%
4/1/2018,4/29/2018,Kum & Go,"3,013",0,2,2,595,0,0,33,13,0,0,0,0,0,1,0%
4/1/2018,4/30/2018,Kum & Go,"3,016",3,4,1,595,0,1,"1,379","1,006",0,0,0,0,0,0,0%
5/1/2018,5/1/2018,Kum & Go,"3,018",2,2,0,595,0,0,239,167,9,9,0,0,0,0,3.77%
5/1/2018,5/2/2018,Kum & Go,"3,019",1,3,2,595,0,0,89,49,43,40,2,1,0,0,48.31%
5/1/2018,5/3/2018,Kum & Go,"3,020",1,1,0,595,0,0,29,21,20,19,1,0,0,0,68.97%
5/1/2018,5/4/2018,Kum & Go,"3,021",1,4,3,595,0,0,525,386,12,12,0,0,0,2,2.29%
5/1/2018,5/5/2018,Kum & Go,"3,025",4,4,0,595,0,0,57,44,10,8,1,1,0,0,17.54%
5/1/2018,5/6/2018,Kum & Go,"3,028",3,3,0,595,0,0,52,22,6,6,0,0,0,2,11.54%
5/1/2018,5/7/2018,Kum & Go,"3,030",2,2,0,595,0,0,32,15,4,4,0,0,0,1,12.50%
