Date,Twitter Profile,Followers,Net Follower Growth,Following,Net Following Growth,Published Posts,Impressions,Video Views,Engagements,Likes,@Replies,Retweets,Post Link Clicks,Other Post Clicks,Other Engagements,Engagement Rate (per Impression)
01-01-2018,@kumandgo,,,,,1,795,175,15,9,1,0,1,4,0,1.9%
01-02-2018,@kumandgo,,,,,23,653,44,96,16,5,0,0,75,0,14.7%
01-03-2018,@kumandgo,,,,,4,"1,960",35,84,5,0,1,0,78,0,4.3%
01-04-2018,@kumandgo,,,,,2,"1,032",7,16,3,0,0,0,13,0,1.6%
01-05-2018,@kumandgo,,,,,11,"2,860",16,84,5,4,1,2,72,0,2.9%
01-06-2018,@kumandgo,,,,,1,"1,231",2,18,4,0,0,1,13,0,1.5%
01-07-2018,@kumandgo,,,,,0,982,1,7,0,0,0,0,7,0,0.7%
01-08-2018,@kumandgo,,,,,10,"1,937",1,31,3,1,1,4,22,0,1.6%
01-09-2018,@kumandgo,,,,,8,"2,782",2,35,7,2,1,2,23,0,1.3%
01-10-2018,@kumandgo,,,,,6,"2,256",13,36,4,1,2,0,29,0,1.6%
01-11-2018,@kumandgo,,,,,7,"1,522",18,21,1,1,2,0,17,0,1.4%
01-12-2018,@kumandgo,,,,,6,"2,654",118,83,11,2,1,1,68,0,3.1%
01-13-2018,@kumandgo,,,,,0,"2,139",51,22,6,0,1,0,15,0,1%
01-14-2018,@kumandgo,,,,,1,"1,369",7,31,2,1,0,1,27,0,2.3%
01-15-2018,@kumandgo,,,,,14,"3,963",391,224,15,1,0,2,206,0,5.7%
01-16-2018,@kumandgo,,,,,10,"3,375",74,110,12,4,1,2,91,0,3.3%
01-17-2018,@kumandgo,,,,,1,"2,563",12,39,7,1,0,0,31,0,1.5%
01-18-2018,@kumandgo,,,,,4,"2,846",101,57,14,3,4,0,36,0,2%
01-19-2018,@kumandgo,,,,,3,"1,791",86,28,4,1,2,0,21,0,1.6%
01-20-2018,@kumandgo,,,,,2,"2,075",121,36,5,1,0,0,30,0,1.7%
01-21-2018,@kumandgo,,,,,2,"2,304",10,38,2,0,0,3,33,0,1.6%
01-22-2018,@kumandgo,,,,,15,"2,522",158,41,5,2,2,3,29,0,1.6%
01-23-2018,@kumandgo,,,,,8,"4,335",82,92,5,3,0,3,81,0,2.1%
01-24-2018,@kumandgo,,,,,2,"3,075",68,88,3,3,0,0,82,0,2.9%
01-25-2018,@kumandgo,,,,,12,"3,183",101,213,6,2,2,1,202,0,6.7%
01-26-2018,@kumandgo,,,,,0,"2,056",123,36,4,0,1,1,30,0,1.8%
01-27-2018,@kumandgo,,,,,1,"1,462",14,21,4,0,0,1,16,0,1.4%
01-28-2018,@kumandgo,,,,,1,"1,779",8,17,2,1,-1,1,14,0,1%
01-29-2018,@kumandgo,,,,,20,"2,965",3,108,15,5,4,4,80,0,3.6%
01-30-2018,@kumandgo,,,,,1,"2,009",100,59,14,3,1,1,40,0,2.9%
01-31-2018,@kumandgo,,,,,4,"1,316",23,39,6,2,-1,0,32,0,3%
02-01-2018,@kumandgo,,,,,3,"1,087",0,9,2,0,0,1,6,0,0.8%
02-02-2018,@kumandgo,,,,,4,"1,555",0,30,3,1,1,0,25,0,1.9%
02-03-2018,@kumandgo,,,,,0,502,0,7,1,1,0,1,4,0,1.4%
