COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,result
one,86865,60,18,468304,294,4,1,unsat,very_little,considering,LEAVE
one,99131,0,51,236394,313,1,2,very_sat,very_high,considering,LEAVE
zero,116499,172,80,583319,673,22,2,very_sat,high,considering,LEAVE
zero,39615,74,0,521323,144,5,15,very_sat,little,no,LEAVE
zero,137678,53,10,238300,623,5,5,very_unsat,very_little,considering,LEAVE
zero,107356,64,22,499964,671,5,5,very_unsat,little,perhaps,LEAVE
zero,143731,72,17,180867,742,4,5,very_sat,little,considering,LEAVE
one,35616,154,17,235497,207,14,5,very_unsat,high,considering,LEAVE
one,36034,198,0,245512,155,29,15,very_sat,little,considering,LEAVE
one,62875,0,0,945379,701,1,10,avg,little,actively_looking_into_it,LEAVE
one,44765,60,8,168230,194,3,6,very_unsat,very_little,no,LEAVE
one,103203,239,0,953902,430,28,14,very_unsat,very_little,no,LEAVE
zero,106367,54,6,205678,630,5,6,very_sat,avg,no,LEAVE
one,102721,189,39,384962,549,23,1,unsat,high,never_thought,LEAVE
zero,131337,54,0,168103,426,4,2,avg,very_little,considering,LEAVE
one,26057,227,64,279704,131,4,2,very_unsat,avg,no,LEAVE
zero,76297,0,0,380030,380,1,10,very_sat,very_high,no,LEAVE
zero,131848,198,19,943186,620,10,5,unsat,little,actively_looking_into_it,LEAVE
zero,45250,228,66,457933,216,1,2,very_unsat,very_high,considering,LEAVE
zero,139327,184,0,763693,841,29,15,unsat,very_high,actively_looking_into_it,LEAVE
zero,45961,77,8,364730,190,3,5,very_sat,very_high,considering,LEAVE
zero,49578,163,0,980139,130,28,12,very_sat,very_little,actively_looking_into_it,LEAVE
zero,35384,181,72,514766,190,1,2,very_unsat,very_little,considering,LEAVE
one,41863,194,7,459256,165,29,5,very_sat,very_little,no,LEAVE
one,50163,0,14,357428,179,0,5,very_unsat,very_little,considering,LEAVE
zero,126126,191,22,540168,498,19,6,very_unsat,little,considering,LEAVE
zero,34600,237,46,288535,169,22,1,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,93351,211,0,568730,314,1,8,very_unsat,very_little,never_thought,LEAVE
zero,106045,184,29,471057,683,15,2,very_unsat,little,never_thought,LEAVE
zero,74356,166,0,338630,385,19,5,very_sat,very_high,considering,LEAVE
zero,80477,0,0,561545,369,13,12,very_sat,very_high,no,LEAVE
zero,58363,190,32,897156,329,16,1,very_sat,avg,never_thought,LEAVE
one,93675,64,7,168842,308,0,4,unsat,high,considering,LEAVE
zero,90918,145,0,181561,281,13,8,avg,very_little,considering,LEAVE
one,151628,0,0,243838,823,0,14,very_unsat,little,considering,LEAVE
zero,143453,57,0,886388,564,4,10,unsat,very_high,actively_looking_into_it,LEAVE
zero,144907,183,21,164791,891,5,5,unsat,little,considering,LEAVE
zero,30510,58,28,253591,236,5,1,very_unsat,avg,no,LEAVE
one,119582,43,0,409398,890,5,6,very_unsat,very_little,considering,LEAVE
zero,46503,191,0,294189,134,26,15,avg,very_high,no,LEAVE
one,141073,201,23,587635,704,19,5,very_unsat,little,actively_looking_into_it,LEAVE
zero,49779,0,47,888229,163,1,2,avg,avg,actively_looking_into_it,LEAVE
one,65900,214,14,961585,313,0,5,very_unsat,very_high,no,LEAVE
one,95476,183,0,566503,322,17,11,very_sat,little,no,LEAVE
one,113385,0,0,333599,819,1,6,very_unsat,very_high,considering,LEAVE
zero,141808,210,23,659709,722,28,5,unsat,very_little,actively_looking_into_it,LEAVE
zero,159415,66,0,952781,432,4,10,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,140959,0,24,259957,867,1,5,unsat,high,no,LEAVE
one,48343,161,0,307531,179,18,11,very_unsat,very_high,perhaps,LEAVE
one,36353,184,10,191211,174,5,6,unsat,very_little,considering,LEAVE
one,25396,67,0,403848,248,4,9,unsat,little,no,LEAVE
one,70829,158,21,267119,292,22,6,very_unsat,little,actively_looking_into_it,LEAVE
one,137061,58,75,778227,490,3,2,avg,high,considering,LEAVE
one,120594,187,21,177758,191,0,4,very_sat,very_little,no,LEAVE
zero,141952,233,0,385333,136,19,6,avg,avg,never_thought,LEAVE
one,140110,41,0,263558,470,3,1,very_unsat,high,considering,LEAVE
one,99512,58,63,164871,691,3,2,very_unsat,high,actively_looking_into_it,LEAVE
zero,130882,0,0,274679,143,0,15,very_sat,high,considering,LEAVE
zero,75107,164,17,242719,253,15,4,sat,very_high,considering,LEAVE
one,82406,0,45,245955,383,1,1,avg,very_little,considering,LEAVE
one,70419,41,77,331368,370,5,1,very_unsat,very_high,considering,LEAVE
zero,130405,280,58,896068,279,21,2,very_unsat,very_little,considering,LEAVE
zero,107983,197,0,196471,826,29,8,very_unsat,very_high,no,LEAVE
zero,46527,158,0,384756,230,27,4,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,35603,163,17,553814,174,29,6,very_unsat,little,considering,LEAVE
one,59308,69,21,288796,344,5,5,very_unsat,little,never_thought,LEAVE
one,84023,141,8,271053,352,17,4,avg,little,never_thought,LEAVE
zero,129579,229,15,693674,447,27,5,avg,very_high,no,LEAVE
one,120240,212,15,169640,679,16,4,sat,little,actively_looking_into_it,LEAVE
one,78859,57,49,192232,319,3,1,very_sat,very_high,considering,LEAVE
one,78708,62,30,276938,263,3,2,very_sat,very_little,never_thought,LEAVE
one,110421,78,71,766096,200,3,8,very_sat,very_little,no,LEAVE
zero,143879,0,0,619165,690,3,11,very_unsat,avg,considering,LEAVE
zero,30272,63,52,154940,165,3,2,very_unsat,high,considering,LEAVE
one,85104,0,25,184407,343,1,1,unsat,little,considering,LEAVE
zero,125534,197,0,953117,621,28,12,very_unsat,very_high,no,LEAVE
zero,59191,258,0,509716,252,15,10,avg,avg,perhaps,LEAVE
zero,25114,244,20,186652,168,18,5,very_unsat,little,never_thought,LEAVE
one,98840,196,5,473153,437,25,5,very_unsat,very_high,considering,LEAVE
one,54238,191,83,522485,393,20,2,very_sat,high,considering,LEAVE
one,91059,144,10,188638,299,12,8,very_unsat,very_little,considering,LEAVE
one,49720,68,18,585641,163,4,5,very_unsat,little,perhaps,LEAVE
one,149439,225,48,753702,185,23,1,very_sat,little,no,LEAVE
one,140208,184,15,492729,400,17,14,very_sat,little,no,LEAVE
zero,23872,153,41,201534,132,28,1,very_sat,very_high,considering,LEAVE
one,154120,258,0,510505,558,18,15,very_unsat,very_high,considering,LEAVE
zero,126596,0,83,723934,870,12,2,very_unsat,little,perhaps,LEAVE
one,32730,185,14,460438,142,28,5,avg,very_high,no,LEAVE
one,92233,0,69,471421,318,0,1,very_unsat,avg,no,LEAVE
zero,122540,195,87,804330,202,23,2,very_unsat,little,considering,LEAVE
one,35964,0,66,383013,202,0,2,avg,very_little,no,LEAVE
one,84287,0,33,364499,363,0,1,unsat,high,considering,LEAVE
one,81142,185,0,337902,330,28,14,very_unsat,little,never_thought,LEAVE
one,154330,48,0,919902,488,4,10,very_unsat,avg,considering,LEAVE
one,51969,194,5,222180,762,21,6,very_unsat,little,considering,LEAVE
zero,91234,76,30,557870,286,5,1,sat,little,considering,LEAVE
one,20457,0,32,530281,144,5,1,sat,very_little,never_thought,LEAVE
zero,37973,0,75,237462,133,0,1,sat,very_little,never_thought,LEAVE
zero,56570,0,35,436221,309,1,13,very_sat,little,actively_looking_into_it,LEAVE
zero,100126,62,0,490643,658,5,13,unsat,high,considering,LEAVE
one,145727,0,0,852562,157,0,12,very_sat,very_high,perhaps,LEAVE
zero,36306,165,10,234400,170,18,4,very_unsat,little,no,LEAVE
zero,141693,239,25,635447,804,18,2,very_sat,little,no,LEAVE
one,148902,0,30,205617,595,1,1,unsat,very_high,actively_looking_into_it,LEAVE
zero,122755,78,20,294436,875,5,5,very_sat,little,actively_looking_into_it,LEAVE
zero,153062,88,84,547222,554,4,2,sat,very_high,perhaps,LEAVE
zero,52336,0,0,423367,259,1,13,very_sat,high,actively_looking_into_it,LEAVE
zero,67526,0,17,404440,368,0,4,very_sat,very_high,actively_looking_into_it,LEAVE
one,31565,224,62,227630,206,25,1,very_sat,little,no,LEAVE
zero,156281,169,0,558800,610,16,9,unsat,very_little,actively_looking_into_it,LEAVE
one,27268,242,0,215017,158,29,9,very_sat,very_high,considering,LEAVE
zero,49724,0,0,251171,138,0,11,unsat,high,considering,LEAVE
one,37828,57,0,222546,219,3,5,avg,little,no,LEAVE
