Component,Score,Recommendation,Satisfaction,Value,Usability,Upgrades,Support,Documentation
Sear,43,7.0,3,4,4,4,4,3
Web,43,7.0,3,4,4,4,4,3
Angular,40,10.0,5,5,5,5,5,5
Web,48,10.0,5,5,5,5,5,4
Sear,33,9.0,5,4,3,4,5,3
Sear,60,9.0,5,5,5,5,5,3
Soap,60,7.0,5,5,5,5,5,3
Web,60,8.0,5,5,5,5,5,3
Angular,40,10.0,4,5,5,3,5,3
Sear,40,5.0,4,5,5,3,5,3
Angular,57,10.0,5,4,5,5,5,3
Sear,57,10.0,5,4,5,5,5,3
Web,57,10.0,5,4,5,5,5,3
Base,35,3.0,4,2,3,3,5,3
Sear,35,0.0,4,2,3,3,5,3
Web,35,7.0,4,2,3,3,5,3
Base,27,5.0,3,3,2,1,2,1
Web,27,5.0,3,3,2,1,2,1
Base,23,5.0,3,3,3,3,3,3
Angular,28,7.0,3,4,4,4,3,3
Batch,57,9.0,5,5,5,5,5,5
Web,57,9.0,5,5,5,5,5,5
Angular,38,10.0,5,5,4,4,5,5
Angular,38,10.0,5,5,5,5,4,4
Angular,39,2.0,4,3,3,2,4,4
Base,39,5.0,4,3,3,2,4,4
Sear,39,7.0,4,3,3,2,4,4
Web,39,5.0,4,3,3,2,4,4
Angular,43,9.0,4,4,5,4,5,3
Web,43,9.0,4,4,5,4,5,3
Angular,42,8.0,5,5,4,4,5,3
Web,42,8.0,5,5,4,4,5,3
Sear,37,9.0,3,3,4,4,3,3
Soap,37,8.0,3,3,4,4,3,3
Angular,50,10.0,5,5,5,5,5,5
Sear,50,10.0,5,5,5,5,5,5
Web,49,10.0,5,5,5,5,5,4
Sear,56,9.0,5,5,5,4,5,5
Web,56,9.0,5,5,5,4,5,5
Angular,49,10.0,5,5,5,5,5,4
Web,49,10.0,5,5,5,5,5,4
Angular,45,10.0,5,5,5,4,4,5
Soap,45,7.0,5,5,5,4,4,5
Angular,34,9.0,5,4,4,4,4,4
Angular,30,8.0,5,4,3,3,5,2
Base,58,10.0,4,5,5,5,5,4
Web,58,10.0,4,5,5,5,5,4
Base,54,9.0,4,5,5,4,5,4
Web,54,9.0,4,5,5,4,5,4
Angular,25,6.0,3,3,4,3,3,3
Web,50,10.0,5,5,5,5,5,5
Angular,25,5.0,3,3,3,3,2,1
Web,25,5.0,3,3,3,3,2,1
Base,31,7.0,4,3,1,4,4,2
Sear,31,3.0,4,3,1,4,4,2
Soap,31,3.0,4,3,1,4,4,2
Sear,40,10.0,4,5,5,4,4,3
Soap,40,5.0,4,5,5,4,4,3
Angular,40,10.0,5,5,5,5,5,5
Web,35,7.0,3,4,4,3,3,4
Angular,36,9.0,3,5,5,5,5,4
Sear,27,6.0,3,2,2,2,3,3
Soap,27,6.0,3,2,2,2,3,3
Angular,27,7.0,3,4,3,4,4,2
Angular,47,10.0,5,5,5,4,5,3
Base,47,10.0,5,5,5,4,5,3
Angular,36,9.0,4,4,5,4,5,5
Angular,42,9.0,4,4,4,4,4,4
Web,42,9.0,4,4,4,4,4,4
Web,28,5.0,3,3,3,3,3,3
Angular,50,10.0,5,5,5,5,5,5
Web,50,10.0,5,5,5,5,5,5
Sear,52,9.0,5,5,4,3,5,4
Web,52,8.0,5,5,4,3,5,4
