,fiscal_year_released,recidivism_reporting_year,releasetype,race_ethnicity,ageat_release,sex,offenseclassification,offensetype,offensesubtype,return_to_prison,days_to_return,recidivism_type,new_offenseclassification,new_offensetype,new_offensesub_type,target_population
17339,2010,2013,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,Yes,433.0,New,C Felony,Drug,Trafficking,Yes
17345,2010,2013,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,165.0,New,D Felony,Drug,Other Drug,Yes
17347,2010,2013,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,1001.0,New,Aggravated Misdemeanor,Public Order,Traffic,Yes
17348,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Public Order,OWI,Yes,763.0,New,Serious Misdemeanor,Violent,Assault,No
17350,2010,2013,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,399.0,New,D Felony,Drug,Trafficking,Yes
17351,2010,2013,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,497.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
17353,2010,2013,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Theft,Yes,263.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
17354,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,467.0,New,D Felony,Property,Burglary,No
17357,2010,2013,Parole,White - Non-Hispanic,45-54,Female,Felony - Enhanced,Drug,Trafficking,Yes,898.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
17358,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,212.0,New,Serious Misdemeanor,Violent,Assault,No
17360,2010,2013,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,Yes,653.0,New,D Felony,Property,Forgery/Fraud,Yes
17361,2010,2013,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Theft,Yes,582.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,No
17363,2010,2013,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes,796.0,New,Aggravated Misdemeanor,Property,Theft,Yes
17364,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,272.0,New,Aggravated Misdemeanor,Public Order,Traffic,No
17365,2010,2013,Parole,Black - Non-Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,Yes,455.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
17366,2010,2013,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,323.0,New,D Felony,Violent,Assault,Yes
17367,2010,2013,Parole,White - Non-Hispanic,55 and Older,Female,D Felony,Property,Theft,Yes,593.0,New,Aggravated Misdemeanor,Property,Theft,Yes
17368,2010,2013,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Other Violent,Yes,737.0,New,Aggravated Misdemeanor,Property,Theft,Yes
17371,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,Yes,874.0,New,D Felony,Public Order,Weapons,No
17375,2010,2013,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,403.0,New,D Felony,Drug,Drug Possession,Yes
17377,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,949.0,New,D Felony,Property,Theft,No
