status_id	created_at	text	retweet_count	favorite_count	is_retweet	retweet_created_at
1354546126641389577	Wed Jan 27 21:45:37 +0000 2021	.@TedDanson is on my show today! It is NOT his birthday. (thanks, @TedDansonBday) https://t.co/Yx2IkgYT1d	16	380	0	
1354540737757667334	Wed Jan 27 21:24:12 +0000 2021	RT @HolocaustMuseum: Eight decades after the Holocaust began, people worldwide pause today—International #HolocaustRemembranceDay, the anni…	295	0	1	Wed Jan 27 18:30:25 +0000 2021
1354526918369017861	Wed Jan 27 20:29:17 +0000 2021	.@TheAmandaGorman tells us everything we wanted to know... in #TheInternetNeedstoKnow https://t.co/882zUX1fhW	89	1052	0	
1354510390294671361	Wed Jan 27 19:23:37 +0000 2021	Why haven’t we done this before?! #5SecondRule https://t.co/jvHC2Ou6hh	106	1088	0	
1354497090618064897	Wed Jan 27 18:30:46 +0000 2021	This tweet is for @Lilly’s mom. https://t.co/E4dO7jtXb0	104	1061	0	
1354290967713611777	Wed Jan 27 04:51:42 +0000 2021	@meganmahaffey21 Happy birthday❤️	2	27	0	
1354290163380330502	Wed Jan 27 04:48:31 +0000 2021	@bohemRhap Thank you❤️❤️❤️	1	6	0	
1354290089430577157	Wed Jan 27 04:48:13 +0000 2021	@CCastelline Happy birthday❤️	2	5	0	
1354197803896025088	Tue Jan 26 22:41:30 +0000 2021	I love @DaxShepard. I love his honesty. https://t.co/faWzJvDPLC	67	1488	0	
1354170466349576192	Tue Jan 26 20:52:53 +0000 2021	@TheKalenAllen Thanks, Kalen! Please don’t make me a hotdog cake.	8	160	0	
1354170266600034304	Tue Jan 26 20:52:05 +0000 2021	Happy Birthday, George. He’s a nurse in Portland. Thanks for all you do. https://t.co/yevmAuHq3i	129	2360	0	
1354143660670119938	Tue Jan 26 19:06:22 +0000 2021	@mrhappyjoeyy @TheAmandaGorman Thank you❤️	2	19	0	
1354143558463348744	Tue Jan 26 19:05:57 +0000 2021	@tinkfly88 @TheAmandaGorman Thank you Susan❤️	2	18	0	
1354143500191883268	Tue Jan 26 19:05:43 +0000 2021	@Brittan21552311 @TheAmandaGorman ❤️	1	15	0	
1354137232811167745	Tue Jan 26 18:40:49 +0000 2021	.@TheAmandaGorman told me about running for president in 2036❤️ https://t.co/4kkJotlUj5	202	2329	0	
1354135519664463872	Tue Jan 26 18:34:01 +0000 2021	@lemos_day ❤️	0	6	0	
1354135444569653249	Tue Jan 26 18:33:43 +0000 2021	@mascruggs3 ❤️	1	7	0	
1354135171415609344	Tue Jan 26 18:32:38 +0000 2021	@eli_carr ❤️	0	9	0	
1354135093229608960	Tue Jan 26 18:32:19 +0000 2021	@LeeWestwick Happy birthday❤️	7	35	0	
1354134867269853190	Tue Jan 26 18:31:25 +0000 2021	@SavingGorillas ❤️	1	45	0	
1354134828237676544	Tue Jan 26 18:31:16 +0000 2021	@StormyClaussen ❤️	0	6	0	
1354134779856384004	Tue Jan 26 18:31:04 +0000 2021	@jenny_dachel Happy birthday!❤️	0	6	0	
1354134593469902858	Tue Jan 26 18:30:20 +0000 2021	@youcanneverb ❤️	0	4	0	
1353847199986192385	Mon Jan 25 23:28:20 +0000 2021	I wanna help parents explain to their kids what’s been going on, so I rewrote some classic children’s books. https://t.co/bqslqwkIve	287	4711	0	
1353804808570986500	Mon Jan 25 20:39:53 +0000 2021	Don’t miss my new episode of #GameofGames tonight! Here’s a sneak peek. https://t.co/3fhmj9almR	88	1314	0	
1353783398452621312	Mon Jan 25 19:14:48 +0000 2021	.@PriyankaChopra told me who her favorite Jonas Brother on TikTok is…and it’s not @NickJonas. https://t.co/MijvHYZX6U	197	2735	0	
1353210854339182592	Sun Jan 24 05:19:43 +0000 2021	I am so excited that #OMKalen is back with all-new episodes, and this is the perfect week to have @Nabela! https://t.co/zg0YBZKIb4	81	1219	0	
1353083028076195840	Sat Jan 23 20:51:47 +0000 2021	I can think of few people in the world of television more iconic than Larry King. Sending love to his family and fans.	429	10651	0	
