status_id	created_at	text	retweet_count	favorite_count	is_retweet	retweet_created_at
1354551711172587523	Wed Jan 27 22:07:48 +0000 2021	RT @WFP: Famine feeds on:🌪️ #ClimateChange🌀  Chaos💥 ConflictCOVID-19 has compounded existing issues and pushed millions of people to t…	64	0	1	Tue Jan 26 00:54:00 +0000 2021
1354536245385457666	Wed Jan 27 21:06:21 +0000 2021	RT @UNReliefChief: Our best chance of getting ahead of this virus now is if all wealthy nations, especially those with multiple deals with…	29	0	1	Tue Jan 26 20:19:39 +0000 2021
1354520804747186177	Wed Jan 27 20:05:00 +0000 2021	🌳 Forest &amp; land conservation☀ Renewable energy🌾 Climate-friendly farming techniques👷‍♀️ Green businesses &amp; jobs… https://t.co/698QTIsN0S	68	221	0	
1354504731457179663	Wed Jan 27 19:01:08 +0000 2021	RT @Refugees: 2020 was a record low for refugee resettlement.We urge States to offer more resettlement places and help save lives of refu…	41	0	1	Wed Jan 27 08:14:00 +0000 2021
1354489960167071744	Wed Jan 27 18:02:26 +0000 2021	RT @UNICEF: “The very little we know about the impact of the conflict on children in Tigray is deeply troubling. @unicefchief To reach f…	107	0	1	Wed Jan 27 15:21:44 +0000 2021
1354475003253829635	Wed Jan 27 17:03:00 +0000 2021	On Wednesday's #HolocaustRemembranceDay we honour the memory of the six million Jews &amp; millions of others who peris… https://t.co/lxdxEKGDEk	131	378	0	
1354468136603545602	Wed Jan 27 16:35:43 +0000 2021	RT @mbachelet: On this day, we are reminded of the horror to which hatred and lies can lead.Words have consequences.We need to ensure t…	166	0	1	Wed Jan 27 13:56:00 +0000 2021
1354459357153550340	Wed Jan 27 16:00:50 +0000 2021	RT @UNDP: 50 countries. 17 languages. 1.2 million people. The results are in of our #PeoplesClimateVote - the largest survey of public op…	209	0	1	Wed Jan 27 05:09:10 +0000 2021
1354445810411343876	Wed Jan 27 15:07:00 +0000 2021	Constituents who are asking questions &amp; raising issues are very powerful. -- UN Envoy Mark Carney explains that e… https://t.co/dXxEfWvr0y	32	155	0	
1354428057520644102	Wed Jan 27 13:56:27 +0000 2021	RT @UNESCO: The Holocaust began with words - and in the era of the internet and social media, the power of propaganda is more devastating t…	1284	0	1	Wed Jan 27 07:00:11 +0000 2021
1354414605238378497	Wed Jan 27 13:03:00 +0000 2021	We can all help #ProtectTheFacts and ensure the Holocaust is not denied, excused, minimised or misrepresented.Lea… https://t.co/aU6pk0Mjv7	144	269	0	
1354398797720379396	Wed Jan 27 12:00:11 +0000 2021	RT @UNICEF: #CycloneEloise has destroyed homes, health centres and classrooms in Mozambique.@UNICEF_Moz is urgently working with partners…	74	0	1	Tue Jan 26 16:04:06 +0000 2021
1354385412429504514	Wed Jan 27 11:07:00 +0000 2021	This year must be a year of healing -- healing from the pandemic, and healing our broken societies in which hatred… https://t.co/zz0sJF6s2C	195	601	0	
1354351901651959809	Wed Jan 27 08:53:50 +0000 2021	RT @antonioguterres: Today we honour the memory of the six million Jews &amp; millions of others who were systematically murdered in the Holoca…	2062	0	1	Wed Jan 27 03:52:00 +0000 2021
1354339610935971840	Wed Jan 27 08:05:00 +0000 2021	9 out of 10 people around the world breathe highly polluted air. Be a #ClimateAction superhero - bike, walk or ta… https://t.co/sp0bErONiL	136	337	0	
