status_id	created_at	text	retweet_count	favorite_count	is_retweet	retweet_created_at
1354139667181006849	Tue Jan 26 18:50:30 +0000 2021	Going over track listing for the album https://t.co/AonJWG6UDv	16596	130657	0	
1352777947980173313	Sat Jan 23 00:39:30 +0000 2021	“Heaven is a place not too far away” https://t.co/phWDgCGd4L	11055	88236	0	
1351608706337808387	Tue Jan 19 19:13:21 +0000 2021	#ANYONE @vevo footnotes https://t.co/OeY1mVrYfl https://t.co/vMawjs5Mnw	3863	25553	0	
1351608462673903616	Tue Jan 19 19:12:23 +0000 2021	RT @Vevo: .@justinbieber started the year strong with Anyone. 🥊 In Footnotes, Justin and director @ColinTilley give us all the info on th…	1691	0	1	Tue Jan 19 19:00:00 +0000 2021
1349410147932770309	Wed Jan 13 17:37:04 +0000 2021	RT @AppleMusic: Keep listening to @justinbieber’s #Anyone on #TodaysHits: https://t.co/GbjeOeSlTq https://t.co/xy8AjJuEBy	2152	0	1	Tue Jan 12 16:46:42 +0000 2021
1346912637406347264	Wed Jan 06 20:12:51 +0000 2021	RT @AppleMusic: .@justinbieber leads #AListPop with #Anyone. Listen here: https://t.co/mQW68x3loo https://t.co/IvP8TXeYog	2369	0	1	Wed Jan 06 17:45:22 +0000 2021
1346911850588372992	Wed Jan 06 20:09:44 +0000 2021	Thank you https://t.co/s1ef2zF3fx	9393	72407	0	
1346895074328780801	Wed Jan 06 19:03:04 +0000 2021	https://t.co/XbbFV7vK84 https://t.co/4zWByyjh87	4821	38612	0	
1346871254377259008	Wed Jan 06 17:28:25 +0000 2021	RT @bieberfever: #ANYONE listening partyhttps://t.co/LDJBMU6fJJ	2399	0	1	Wed Jan 06 17:00:16 +0000 2021
1346619133329362946	Wed Jan 06 00:46:35 +0000 2021	RT @spotifycharts: .@justinbieber kicking off the new year with a bang 🥊#ANYONE earns the #1 spot ✨These songs had the biggest opening w…	2166	0	1	Tue Jan 05 20:12:26 +0000 2021
1346573780534104065	Tue Jan 05 21:46:22 +0000 2021	RT @bieberfever: #ANYONE the game 🥊https://t.co/X1O3PMssBX https://t.co/iRtVJAN63E	2431	0	1	Tue Jan 05 21:32:19 +0000 2021
1346203524342943745	Mon Jan 04 21:15:06 +0000 2021	RT @Shazam: Stream and Shazam #Anyone by @justinbieber: https://t.co/nNEN3iq2y4 🙏 https://t.co/oUWsQfBo3I	2201	0	1	Mon Jan 04 17:33:46 +0000 2021
1346164256090300416	Mon Jan 04 18:39:03 +0000 2021	RT @amazonmusic: .@justinbieber sets the tone for 2021 with new track #ANYONE. Listen now 🎧: https://t.co/r2Aaq0bwh9 https://t.co/M5CjhuaXqt	2145	0	1	Mon Jan 04 18:27:17 +0000 2021
1346143842886709248	Mon Jan 04 17:17:56 +0000 2021	On the set of #Anyone https://t.co/LXB015vcUL https://t.co/1GCb8rekVO	5183	28881	0	
1345793919733420032	Sun Jan 03 18:07:28 +0000 2021	If you haven’t peeped the anyone video give it a gander 😘😘😘 thank u @zoeydeutch for making this video come to life… https://t.co/4fxp4UiTp6	5952	47762	0	
1345793787008671744	Sun Jan 03 18:06:57 +0000 2021	Anyone merch 🥊 https://t.co/aeusX9i3xg https://t.co/pMmasifNPb	3431	20580	0	
1345789839413796865	Sun Jan 03 17:51:15 +0000 2021	RT @pandoramusic: Kicking off the new year with a brand-new @justinbieber single 🎉 Listen to Anyone now: https://t.co/snbHY7FjxL https://…	1769	0	1	Fri Jan 01 05:12:01 +0000 2021
1345440325863677970	Sat Jan 02 18:42:25 +0000 2021	https://t.co/XbbFV7vK84 https://t.co/0tSBihdtL5	9985	88681	0	
1345393120834428928	Sat Jan 02 15:34:50 +0000 2021	RT @youtubemusic: New year, new @justinbieber 💪 Watch the video for #ANYONE now → https://t.co/dPKUEYqJCK https://t.co/Qke9gXOQYH	2288	0	1	Fri Jan 01 16:19:45 +0000 2021
1345098037509705734	Fri Jan 01 20:02:17 +0000 2021	RT @TMobile: Now THIS is how you celebrate the New Year! 🎊2️⃣0️⃣2️⃣1️⃣🎉We took @JustinBieber's performance of Holy to the next level wi…	3635	0	1	Fri Jan 01 19:55:23 +0000 2021
1345095510160453634	Fri Jan 01 19:52:14 +0000 2021	RT @Vevo: 2021 is already off to a good start thanks to @justinbieber   🙏He rang in the New Year by dropping his Anyone video ❤️⠀⠀⠀⠀⠀⠀…	2262	0	1	Fri Jan 01 18:00:00 +0000 2021
1345037824509308930	Fri Jan 01 16:03:01 +0000 2021	RT @AppleMusic: Kick off the year with new @justinbieber.Listen to #Anyone now: https://t.co/jp1vHYHaKv https://t.co/aAB9js0UHm	2736	0	1	Fri Jan 01 05:00:03 +0000 2021
1345037809124601856	Fri Jan 01 16:02:57 +0000 2021	RT @Spotify: New year, new @JustinBieber. #ANYONE is here https://t.co/vh4QLKmRXv https://t.co/745zki2TVt	3940	0	1	Fri Jan 01 05:00:02 +0000 2021
1345037663775154178	Fri Jan 01 16:02:23 +0000 2021	No tats for the #AnyoneVideo https://t.co/SgHgvgFm1c https://t.co/9rqEiRpKAQ	11254	77818	0	
1344907493529497600	Fri Jan 01 07:25:08 +0000 2021	RT @TMobile: The turnout for #BieberNYE was un-BELIEB-able! So many tuned in &amp; the @Venew_Live site was temporarily overwhelmed. We're st…	2435	0	1	Fri Jan 01 07:17:09 +0000 2021
1344890442576490496	Fri Jan 01 06:17:23 +0000 2021	#ANYONE out nowhttps://t.co/Uh4E6vUzZv https://t.co/UjiStYfwrz	15180	60672	0	
1344866487211880448	Fri Jan 01 04:42:11 +0000 2021	Can’t wait to celebrate new years with you. Going on stage 8:45	7431	80427	0	
1344855664116576257	Fri Jan 01 03:59:11 +0000 2021	https://t.co/vKNuRg8oCT	6143	74384	0	
1344829234867560448	Fri Jan 01 02:14:09 +0000 2021	Virtual doors for #BieberNYE open in an hour. See you soon https://t.co/r5iaCnY2rW	4430	23748	0	
1344825720695103493	Fri Jan 01 02:00:12 +0000 2021	3 hours til #ANYONE	5860	41395	0	
1344735138798841857	Thu Dec 31 20:00:15 +0000 2020	#ANYONEvideo 9pm PST https://t.co/SgHgvgFm1c https://t.co/wqk5Qs9sgn	9094	36263	0	
1344704891688779777	Thu Dec 31 18:00:04 +0000 2020	#BieberNYE tonight. Ring in the New Year with us https://t.co/r5iaCnY2rW https://t.co/ZsJfvhNfNe	5573	26110	0	
1344689892106915841	Thu Dec 31 17:00:28 +0000 2020	Dropping the #ANYONE song and music video right after #BieberNYE https://t.co/Uh4E6vUzZv https://t.co/poakx8Qkuh	10749	40089	0	
1344326323867672582	Wed Dec 30 16:55:46 +0000 2020	Oh yeah I’m performing my new single #ANYONE during #BieberNYE tomorrow night https://t.co/r5iaCnY2rW	11557	59978	0	
1344326144766730244	Wed Dec 30 16:55:03 +0000 2020	RT @JBCrewdotcom: Video of Justin Bieber saying that he recorded a new song called, “Anyone,” on Instagram Live today. (April 10) https://t…	2004	0	1	Fri Apr 10 22:49:31 +0000 2020
1343405026652397568	Mon Dec 28 03:54:52 +0000 2020	Feeling so blessed for this opportunity to perform this New Years. Excited to celebrate with you all… https://t.co/U2pqcN6ava	9725	70508	0	
1342925115277897729	Sat Dec 26 20:07:52 +0000 2020	Boxing Day	6048	86625	0	
1342526501573562368	Fri Dec 25 17:43:55 +0000 2020	Merry Christmas	30587	269922	0	
1342201996397391879	Thu Dec 24 20:14:27 +0000 2020	One week #BieberNYE https://t.co/r5iaCnY2rW https://t.co/FmZiFMg2O1	5139	33760	0	
1341123456180641792	Mon Dec 21 20:48:43 +0000 2020	Rockin’ around… @amazonmusic https://t.co/k8ZSl2txwi https://t.co/1EbXfT8m4e	4029	24248	0	
1341067504706326532	Mon Dec 21 17:06:23 +0000 2020	RT @InnerCityArts: A very special thank you to @justinbieber and the many others participating in @amazonmusic's #DeliveringSmiles campaign…	1560	0	1	Wed Dec 16 22:15:16 +0000 2020
1340543163358801920	Sun Dec 20 06:22:50 +0000 2020	https://t.co/tnLZV1FFyV	6656	52957	0	
1340108674040291337	Sat Dec 19 01:36:20 +0000 2020	My brother has an AMAZING live concert planned for you guys tonight! #ChiTownChristmas starts in 30 mins!! https://t.co/CTXbOj982U	2939	23140	0	
1340014973616058368	Fri Dec 18 19:24:00 +0000 2020	RT @bieberfever: #BieberNYE will re-air twice for those that might not be able to watch it live! $25 to watch all 3 streams 🎟https://t.co/w…	2405	0	1	Fri Dec 18 14:18:56 +0000 2020
1339730940688560128	Fri Dec 18 00:35:21 +0000 2020	UK. Holy feat. @Choir_NHS is out now. We have some fun UK chart history together. Proceeds go to @NHSCharities and… https://t.co/tUKHawk3eN	4925	29403	0	
1339286235601367041	Wed Dec 16 19:08:15 +0000 2020	RT @Vevo: .@justinbieber's Yummy started off 2020 on a sweet note, and ends it at #1. @billieeilish, @ladygaga, @ArianaGrande and more…	2628	0	1	Wed Dec 16 17:32:00 +0000 2020
