status_id	created_at	text	retweet_count	favorite_count	is_retweet	retweet_created_at
1354533616080932867	Wed Jan 27 20:55:54 +0000 2021	eat local ✌🏻	979	10672	0	
1354302797856927874	Wed Jan 27 05:38:43 +0000 2021	ego is the enemy	9263	59903	0	
1353472041073004544	Sun Jan 24 22:37:35 +0000 2021	This MOM says WOW... only 3 weeks until the @americanidol premiere 😱 See you there? 🙃🍼 https://t.co/wLKjoejPuE	1460	17420	0	
1352370215103827969	Thu Jan 21 21:39:19 +0000 2021	*takes popstar hat off**puts mom hat back on*ily ♥️	4551	70960	0	
1352164319362863104	Thu Jan 21 08:01:10 +0000 2021	🕊♥️🇺🇸 https://t.co/y0ZlAFCNAw	15918	212474	0	
1351955873783013379	Wed Jan 20 18:12:53 +0000 2021	♥️ https://t.co/3PXQU4DFfP	2006	25673	0	
1351946559378878468	Wed Jan 20 17:35:52 +0000 2021	#UNITY = you and I ♥️🇺🇸	3767	48463	0	
1351698557221261312	Wed Jan 20 01:10:24 +0000 2021	♥️🇺🇸 https://t.co/glJjqrDdEM	4818	72336	0	
1351638809490853888	Tue Jan 19 21:12:59 +0000 2021	“Music should make you laugh, make you cry, or make you think” - Kenny Rogers ♥️ @AmericanIdol is back in LESS than… https://t.co/Hv4UXVksMq	996	8460	0	
1351307411882205185	Mon Jan 18 23:16:07 +0000 2021	Just posted a video https://t.co/D7TweN4KCL	630	8445	0	
1351054559775498242	Mon Jan 18 06:31:23 +0000 2021	IQ or EQ?	1704	31067	0	
1350571426479149056	Sat Jan 16 22:31:35 +0000 2021	I’m about 95% ready to be 100% VEGAN... my dog Nugget has been joining me on this journey for the past 4 monthz. Pray for us ok ✌🏻♥️	2688	46255	0	
1350194825895714817	Fri Jan 15 21:35:06 +0000 2021	it’s getting harder to unsubscribe	1914	28842	0	
1350095878669783040	Fri Jan 15 15:01:55 +0000 2021	The theme of 2020: resilience. I’ll need to carry that into 2021 as well but now that we’re in a new year I’m gonna… https://t.co/85JpMU2M8C	1857	13625	0	
1349420650033598464	Wed Jan 13 18:18:48 +0000 2021	@Ross_Swim14 @LeonhartYT That would definitely make me SMILE ♥️	443	4270	0	
1349358309510270977	Wed Jan 13 14:11:05 +0000 2021	Where u were directly affects where u are now... ♥️Meaning... I can’t believe I used to trade my POGS for… https://t.co/af9dQoUYGT	6416	31716	0	
1349252680628240384	Wed Jan 13 07:11:21 +0000 2021	Just posted a photo @ God Sent Me An Angel from the Heavens Above https://t.co/i0SgeNVneV	844	10081	0	
1349118012805189632	Tue Jan 12 22:16:14 +0000 2021	If you’re searching for that double rainbow type of love, here’s one that’s not that hard to find... All you have t… https://t.co/cq33p46SNx	778	10541	0	
1348752638070853632	Mon Jan 11 22:04:22 +0000 2021	i dont know who needs to hear this but: sugar is pain ily	2440	29846	0	
1348320205936594944	Sun Jan 10 17:26:02 +0000 2021	HOPE is a decision	6272	54989	0	
1347951074095755265	Sat Jan 09 16:59:14 +0000 2021	ugh I love a double downnn https://t.co/8dm3x7KDkH	625	8127	0	
1347949975381020672	Sat Jan 09 16:54:52 +0000 2021	The cleaner the eating the closer to God	1737	21165	0	
1347943267590139907	Sat Jan 09 16:28:13 +0000 2021	OMG PRAYERS ANSWERED https://t.co/1weLXpuarI	571	8546	0	
1346536294260768768	Tue Jan 05 19:17:24 +0000 2021	Satin pajama flats for the transition to dressing up your bottom half again 😈 @kpcollections #shoesdaytuesday https://t.co/9qu5UFsemu	683	9712	0	
1345576182507569152	Sun Jan 03 03:42:16 +0000 2021	speak from experience, lead by example ♥️	7233	59639	0	
1344886561628852225	Fri Jan 01 06:01:57 +0000 2021	Leaving 2020 like...✌🏻 https://t.co/jOS9s4Gv98	7761	104745	0	
1344843614174605312	Fri Jan 01 03:11:18 +0000 2021	🙃 https://t.co/GeSZU1hh6l	1097	12310	0	
1344015002198364160	Tue Dec 29 20:18:41 +0000 2020	Want ur voice to be heard? Use ur voice. Want more change? Make more change. Need more love? Give more love.You… https://t.co/mc1ELh4XUU	686	7027	0	
1343095709277376512	Sun Dec 27 07:25:45 +0000 2020	Today one of my family members help me realize that the stress/pain/trauma of family Christmas is actually the gift… https://t.co/OQvw0PBhyq	1876	26550	0	
1343067921149349890	Sun Dec 27 05:35:20 +0000 2020	yesterday for Christmas we watched the new movie @PixarSoul and I feel like I was hugged by the world again. Watch… https://t.co/kDc4YMRErm	2435	29037	0	
1342563727724277763	Fri Dec 25 20:11:50 +0000 2020	i see you and i love you... never forget that the greatest love of all is inside of you ♥️	5668	49952	0	
1342201536701636608	Thu Dec 24 20:12:37 +0000 2020	In case you missed another Great Conjunction... watch 2 become 1 in the #NotTheEndOfTheWorldVid 🪐👽👯‍♀️ #TBT… https://t.co/soFmottqqd	2149	24128	0	
1342139868017659906	Thu Dec 24 16:07:34 +0000 2020	I told 🎅🏻 to take the day off and asked some of my friends at @BGCA_Clubs to 🎨 their wish for 2021. So ♥️ to partne… https://t.co/yzalTdHI4z	1333	10892	0	
1341856421617385473	Wed Dec 23 21:21:16 +0000 2020	i wanna change the world... i’ll start with me ♥️	10023	81416	0	
1341777515866517504	Wed Dec 23 16:07:43 +0000 2020	Have a ball and do it all in the Adora and the Hux 💁🏼‍♀️ (except remember what day it was yesterday 😬😔)… https://t.co/E9lV1w55Zj	656	8793	0	
1341534358469918722	Wed Dec 23 00:01:30 +0000 2020	Not all heroes wear capes. Some of them look like @zooeydeschanel 💕🛸 #NotTheEndOfTheWorldVid is out now ICYMI 👽… https://t.co/W7zTeXmX1b	1731	12689	0	
