Date,Open,High,Low,Close,Adj Close,Volume
1/3/1977,7.25,7.25,7.125,7.171875,2.793271,560000
1/4/1977,7.171875,7.234375,7.0625,7.0625,2.750674,252800
1/5/1977,7.0625,7.109375,6.953125,7,2.726332,596000
1/6/1977,7,7.0625,7,7,2.726332,249600
1/7/1977,7,7.09375,7,7.03125,2.738502,301600
1/10/1977,7.03125,7.046875,7,7.046875,2.744588,314400
1/11/1977,7.046875,7.109375,6.953125,6.96875,2.71416,263200
1/12/1977,6.96875,6.984375,6.875,6.875,2.677646,773600
1/13/1977,6.875,6.96875,6.828125,6.953125,2.708075,714400
1/14/1977,6.953125,7.046875,6.9375,7.03125,2.738502,389600
1/17/1977,7,7,6.9375,6.953125,2.708075,275200
1/18/1977,6.953125,6.96875,6.84375,6.84375,2.665478,464800
1/19/1977,6.84375,6.90625,6.46875,6.53125,2.543764,1012800
1/20/1977,6.53125,6.6875,6.53125,6.59375,2.568107,595200
1/21/1977,6.59375,6.6875,6.578125,6.65625,2.592448,1013600
1/24/1977,6.65625,6.75,6.640625,6.703125,2.610705,321600
1/25/1977,6.703125,6.703125,6.640625,6.640625,2.586363,753600
1/26/1977,6.625,6.625,6.40625,6.40625,2.49508,1082400
1/27/1977,6.40625,6.4375,6.375,6.421875,2.501165,667200
1/28/1977,6.421875,6.5,6.40625,6.484375,2.525506,876000
1/31/1977,6.46875,6.46875,6.3125,6.453125,2.513336,629600
2/1/1977,6.484375,6.640625,6.484375,6.578125,2.56202,856000
2/2/1977,6.578125,6.625,6.5,6.5,2.531591,1160800
2/3/1977,6.5,6.515625,6.4375,6.5,2.531591,543200
2/4/1977,6.5,6.5625,6.5,6.515625,2.537679,371200
2/7/1977,6.515625,6.546875,6.453125,6.453125,2.513336,796000
2/8/1977,6.453125,6.484375,6.265625,6.296875,2.45248,1065600
2/9/1977,6.296875,6.3125,6.09375,6.09375,2.373369,1568000
2/10/1977,6.140625,6.21875,6.140625,6.15625,2.397711,839200
2/11/1977,6.15625,6.171875,6.125,6.171875,2.403795,980800
2/14/1977,6.171875,6.1875,6.125,6.171875,2.403795,987200
2/15/1977,6.1875,6.40625,6.1875,6.40625,2.49508,1001600
2/16/1977,6.40625,6.5,6.3125,6.34375,2.470736,713600
2/17/1977,6.34375,6.375,6.296875,6.328125,2.464652,541600
2/18/1977,6.328125,6.359375,6.21875,6.265625,2.44031,780000
2/22/1977,6.296875,6.40625,6.296875,6.296875,2.45248,417600
2/23/1977,6.296875,6.296875,6.203125,6.203125,2.415967,439200
2/24/1977,6.21875,6.25,6.21875,6.25,2.434223,316000
2/25/1977,6.25,6.328125,6.234375,6.296875,2.45248,584800
2/28/1977,6.296875,6.34375,6.28125,6.34375,2.470736,357600
3/1/1977,6.375,6.421875,6.375,6.390625,2.488993,720800
3/2/1977,6.40625,6.46875,6.40625,6.421875,2.501165,787200
3/3/1977,6.421875,6.53125,6.421875,6.46875,2.519421,840000
3/4/1977,6.46875,6.5625,6.40625,6.53125,2.543764,539200
3/7/1977,6.53125,6.578125,6.53125,6.5625,2.555936,698400
