,fiscal_year_released,recidivism_reporting_year,main_supervising_district,releasetype,race_ethnicity,ageat_release,sex,offenseclassification,offensetype,offensesubtype,return_to_prison,recidivism_type,target_population
0,2010,2013,6JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Other,Other Criminal,No,No Recidivism,Yes
1,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
2,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
3,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Forgery/Fraud,No,No Recidivism,Yes
6,2010,2013,1JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Property,Burglary,No,No Recidivism,Yes
10,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
11,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
16,2010,2013,1JD,Parole,Black - Non-Hispanic,0-25,Female,Aggravated Misdemeanor,Property,Forgery/Fraud,No,No Recidivism,Yes
17,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,Yes
18,2010,2013,1JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
27,2010,2013,6JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
28,2010,2013,1JD,Parole,White - Non-Hispanic,55 and Older,Male,C Felony,Property,Theft,No,No Recidivism,Yes
29,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,No Recidivism,Yes
30,2010,2013,1JD,Parole,Black - Non-Hispanic,55 and Older,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
31,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,No Recidivism,Yes
32,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,No Recidivism,Yes
36,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
37,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
42,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
43,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
44,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
46,2010,2013,8JD,Parole,White - Hispanic,35-44,Male,C Felony,Violent,Robbery,No,No Recidivism,Yes
47,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
48,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
49,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
50,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
51,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
53,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
54,2010,2013,1JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Other Drug,No,No Recidivism,Yes
56,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Weapons,No,No Recidivism,Yes
57,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
58,2010,2013,5JD,Parole,White - Hispanic,45-54,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
70,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
71,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Property,Theft,No,No Recidivism,Yes
72,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
73,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
74,2010,2013,7JD,Parole,Black - Non-Hispanic,35-44,Female,D Felony,Property,Theft,No,No Recidivism,Yes
76,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
77,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
78,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
85,2010,2013,8JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
86,2010,2013,8JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
87,2010,2013,8JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
89,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
90,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
91,2010,2013,7JD,Parole,White - Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
92,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Violent,Assault,No,No Recidivism,Yes
93,2010,2013,7JD,Parole,White - Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
94,2010,2013,2JD,Parole,White - Hispanic,25-34,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
97,2010,2013,7JD,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Public Order,Weapons,No,No Recidivism,Yes
98,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
99,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,No Recidivism,Yes
100,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Arson,No,No Recidivism,Yes
102,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
103,2010,2013,5JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
104,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
105,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
106,2010,2013,2JD,Parole,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,Yes
107,2010,2013,8JD,Parole,Black - Non-Hispanic,45-54,Female,C Felony,Property,Theft,No,No Recidivism,Yes
108,2010,2013,3JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Weapons,No,No Recidivism,Yes
110,2010,2013,5JD,Special Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Sex,No,No Recidivism,Yes
111,2010,2013,7JD,Parole,Black - Non-Hispanic,55 and Older,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
114,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Other Drug,No,No Recidivism,Yes
119,2010,2013,7JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,No,No Recidivism,Yes
120,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
129,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,No,No Recidivism,Yes
133,2010,2013,1JD,Parole,American Indian or Alaska Native - Non-Hispanic,35-44,Female,D Felony,Property,Burglary,No,No Recidivism,Yes
134,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,No,No Recidivism,Yes
138,2010,2013,4JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Property,Arson,No,No Recidivism,Yes
140,2010,2013,5JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
141,2010,2013,5JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
142,2010,2013,5JD,Parole,White - Hispanic,0-25,Male,C Felony,Property,Burglary,No,No Recidivism,Yes
148,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Theft,No,No Recidivism,Yes
151,2010,2013,7JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Violent,Sex,No,No Recidivism,Yes
152,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Traffic,No,No Recidivism,Yes
153,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,No,No Recidivism,Yes
154,2010,2013,6JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
155,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
156,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
157,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
160,2010,2013,3JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
161,2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Murder/Manslaughter,No,No Recidivism,Yes
162,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Assault,No,No Recidivism,Yes
182,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Female,C Felony,Property,Theft,No,No Recidivism,Yes
183,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,No Recidivism,Yes
184,2010,2013,7JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
